Date,SPX Index,RTY Index,NDX Index,INDU Index,S5FINL Index,S5INFT Index,S5HLTH Index,S5TELS Index,S5INDU Index,S5COND Index,S5CONS Index,S5ENRS Index,S5MATR Index,S5RLST Index,S5UTIL Index,MXWD Index,MXWDEWGT Index,MXWO Index,MXEA Index,SX5E Index,SXXP Index,UKX Index,NKY Index,TPX Index,SPTSX60 Index,DAX Index,CAC Index,AEX Index,FTSEMIB Index,IBEX Index,OMX Index,AS51 Index,MXEF Index,XIN9I Index,HSI Index,KOSPI Index,TWSE Index,SENSEX Index,MXLA Index,WN1 Comdty,UXY1 Comdty,TY1 Comdty,FV1 Comdty,TU1 Comdty,CN1 Comdty,UB1 Comdty,RX1 Comdty,OE1 Comdty,DU1 Comdty,OAT1 Comdty,G 1 Comdty,IK1 Comdty,JB1 Comdty,XM1 Comdty,TFT1 Comdty,DW1 Comdty,KAA1 Comdty,LEGATRUH Index,LGTRTRUH Index,H03454US Index,H03450US Index,LGCPTRUH Index,LG30TRUH Index,LG20TRUH Index,LUATTRUU Index,EURUSD Curncy,JPYUSD Curncy,GBPUSD Curncy,CHFUSD Curncy,SEKUSD Curncy,CADUSD Curncy,AD1 Curncy,NZDUSD Curncy,CNYUSD Curncy,BRLUSD Curncy,MXNUSD Curncy,KRWUSD Curncy,CL1 Comdty,HG1 Comdty,NG1 Comdty,GC1 Comdty,SI1 Comdty,PL1 Comdty,SCO1 Comdty,PA1 Comdty,C 1 Comdty,W 1 Comdty,S 1 Comdty,VIX Index
Date,S&P500,R.2000,NASDAQ,Dow,Financial,Technology,Health Care,Communication,Industrial,Con. Disc,Con. Staples,Energy,Material,Real Estate,Utilities,ACWI,ACWI (EW),MSCI World,MSCI EAFE,EUROSTOXX50,STOXX600,FTSE100,Nikkei225,Topix,TSX60,DAX,CAC40,AEX,FTSE MIB,IBEX35,OMXS30,ASX200,MSCI EM,China A50,HangSeng,Kospi,TAIEX,SENSEX,MSCI Latin,US 30Y,US Ultra 10Y,US 10Y,US 5Y,US 2Y,Canada 10Y,Germany 30Y,Germany 10Y,Germany 5Y,Germany 2Y,France 10Y,UK 10Y,Italy 10Y,Japan 10Y,Australia 10Y,China 10Y,Mexico 10Y,Korea 10Y,Bbg Global Agg,Bbg Global Treasury,Bbg Global Treasury LT,Bbg Global Treasury ST,Bbg Global Corporate,Bbg Global HY,Bbg EM USD,Bbg US Treasury,EUR,JPY,GBP,CHF,SEK,CAD,AUD,NZD,CNY,BRL,MXN,KRW,WTI,Copper,Natural Gas(US),Gold,Silver,Platinum,Iron Ore,Palladium,Corn,Wheat,Soybean,VIX
2000-01-12,1432.25,490.613,3478.14,11551.11,305.86,755.71,345.44,301.07,268.05,294.1038,213.43,216.12,161.35,,149.5,332.23,1358.07,1377.98,1698.8,4649.3,362.92,6532.8,18677.42,1656.92,488.72,6912.81,5582.5,638.4,40289.0,10851.8,1190.15,3088.4,500.59,,15714.2,955.01,9144.65,5491.2,1102.51,,,94.390625,97.140625,98.8984375,116.65,97.37,102.8,103.06,102.57,,109.16,,132.0,92.71,,,,216.6239,,,,,110.5987,,951.77,1.0309,0.009451,1.6466,0.6401,0.11907,0.6878,65.88,0.5193,0.12077,0.5471,0.10482,0.08739,26.28,86.6,2.244,283.7,5.143,417.4,,452.25,215.5,258.75,472.5,22.84
2000-01-13,1449.68,501.851,3612.08,11582.44,313.91,765.27,349.83,302.89,271.3,298.1132,212.24,219.63,161.0,,150.38,335.31,1372.67,1390.3,1706.5,4688.35,364.83,6531.5,18833.29,1657.97,493.06,6955.98,5633.24,642.21,40499.0,10931.9,1195.48,3078.9,508.08,,15633.96,951.05,9107.19,5444.82,1141.97,,,95.015625,97.5625,99.0546875,117.0,97.48,102.92,103.1,102.63,,109.94,,132.08,92.72,,,,216.6239,,,,,110.5987,,956.36,1.0258,0.009423,1.6472,0.6363,0.1188,0.6893,66.89,0.5234,0.12077,0.5515,0.10553,0.08808,26.69,85.65,2.252,285.1,5.153,419.9,,447.0,220.75,263.5,481.75,21.71
2000-01-14,1465.15,508.283,3704.74,11722.98,322.52,787.39,352.8,305.55,268.74,296.9036,211.1,217.02,160.33,,151.68,338.27,1382.31,1402.14,1721.13,4829.36,373.63,6658.2,18956.55,1648.24,487.93,7173.22,5787.44,655.6,41588.0,11184.0,1217.95,3115.4,515.63,,15542.23,948.03,9023.24,5471.27,1166.37,,,94.609375,97.34375,98.96875,116.7,96.93,102.66,103.0,102.6,,109.57,,132.37,92.73,,,,216.6239,,,,,110.5987,,954.42,1.0122,0.009446,1.6313,0.6272,0.118,0.6897,66.73,0.5213,0.12077,0.5543,0.1054,0.08946,28.02,86.25,2.322,284.9,5.15,425.4,,441.0,219.0,265.0,485.5,19.66
2000-01-17,1465.15,508.283,3704.74,11722.98,322.52,787.39,352.8,305.55,268.74,296.9036,211.1,217.02,160.33,,151.68,339.99,1392.94,1408.31,1735.94,4884.5,376.21,6669.5,19437.23,1681.97,494.32,7258.9,5842.78,661.51,41546.0,11285.6,1245.69,3121.5,524.38,,15574.56,983.27,9315.43,5404.07,1184.6,,,94.609375,97.34375,98.96875,116.74,96.84,102.67,102.99,102.61,,109.12,,132.4,92.695,,,,216.6239,,,,,110.5987,,954.42,1.0122,0.009534,1.6333,0.6267,0.11822,0.6899,66.43,0.5195,0.12078,0.5573,0.1046,0.08924,28.02,86.25,2.322,284.9,5.15,425.4,,441.0,219.0,265.0,485.5,19.66
2000-01-18,1455.14,514.107,3757.78,11560.73,311.98,790.24,345.77,305.42,266.2,295.6334,211.75,220.67,155.75,,149.0,336.12,1386.15,1391.6,1705.65,4761.0,368.3,6504.6,19196.57,1665.84,502.28,7072.12,5672.95,647.72,41109.0,11066.3,1215.4,3128.0,522.65,,15789.2,981.53,9250.19,5464.51,1171.97,,,94.125,97.109375,98.8984375,116.26,95.83,102.06,102.82,102.55,,108.36,,132.78,92.74,,,,216.6239,,,,,110.5987,,952.8,1.0137,0.009462,1.6379,0.6284,0.11822,0.6894,66.56,0.5168,0.12078,0.5579,0.10729,0.08877,28.85,86.6,2.383,289.6,5.165,430.7,,438.7,220.0,264.5,502.25,21.5
2000-01-19,1455.9,520.656,3790.89,11489.37,310.35,787.95,349.52,306.19,266.54,298.1995,210.61,221.11,154.31,,149.5,334.49,1370.33,1386.18,1688.95,4768.37,366.58,6445.4,18897.75,1631.28,503.22,7091.04,5649.46,642.59,41436.0,11120.7,1213.77,3080.5,511.54,,15275.34,938.78,9151.44,5478.24,1152.36,,,94.34375,97.234375,98.953125,116.16,96.67,102.42,102.94,102.62,,108.9,,132.82,92.665,,,,216.6239,,,,,110.5987,,954.27,1.0133,0.009496,1.645,0.6278,0.11799,0.6887,66.39,0.5147,0.12077,0.5584,0.10621,0.08822,29.54,88.25,2.417,290.3,5.173,443.2,,442.75,220.75,266.0,501.0,21.72
2000-01-20,1445.57,527.984,3841.74,11351.3,303.92,795.74,344.35,305.22,262.61,293.7826,207.46,216.38,150.38,,154.78,333.23,1368.57,1380.78,1689.24,4778.71,365.64,6348.7,19008.01,1633.11,505.54,7112.66,5709.74,644.79,41690.0,11047.6,1217.73,3112.5,510.7,,15215.31,945.9,9136.95,5355.8,1135.89,,,94.0625,97.078125,98.90625,115.86,97.45,102.79,103.06,102.68,,108.57,,132.55,92.705,,,,216.6239,,,,,110.5987,,953.19,1.0168,0.009484,1.6537,0.6311,0.11832,0.6913,66.61,0.5148,0.12078,0.5612,0.10599,0.08884,29.66,87.3,2.559,289.3,5.257,442.5,,451.7,220.75,265.0,505.5,21.75
2000-01-21,1441.36,534.629,3849.96,11251.72,300.17,795.6,341.72,307.55,261.48,291.5108,203.87,220.58,149.0,,158.99,332.14,1363.82,1376.52,1682.8,4719.29,364.63,6346.3,18878.09,1627.14,501.36,6992.75,5681.32,641.47,41702.0,10969.3,1218.19,3073.4,507.49,,15108.41,925.16,9255.94,5423.05,1121.8,,,93.984375,97.078125,98.9140625,115.92,97.14,102.54,102.88,102.6,,108.9,,132.85,92.665,,,,216.6239,,,,,110.5987,,953.86,1.0098,0.009555,1.6487,0.6265,0.11786,0.6937,66.38,0.5115,0.12078,0.5687,0.10563,0.08869,28.2,87.3,2.485,289.7,5.26,445.5,,457.1,222.75,264.25,505.25,20.82
2000-01-24,1401.53,523.806,3660.96,11008.17,295.48,771.48,326.61,300.61,252.17,281.7176,200.8,216.62,146.28,,156.81,327.73,1357.15,1357.16,1681.1,4718.76,366.45,6379.8,19056.71,1647.96,493.89,6931.99,5690.86,645.53,42012.0,10955.0,1229.51,3069.7,507.63,,15167.55,926.77,9387.07,5458.06,1116.36,,,94.5625,97.40625,99.0234375,116.71,97.57,102.74,102.94,102.6,,109.04,,133.7,92.66,,,,216.6239,,,,,110.5987,,957.53,1.0072,0.009475,1.6531,0.6251,0.11729,0.6926,65.42,0.5063,0.12078,0.5639,0.10492,0.08885,27.83,85.65,2.528,288.1,5.293,455.5,,470.25,227.25,266.0,512.0,24.07
2000-01-25,1410.03,522.305,3759.11,11029.89,298.91,788.95,327.91,298.91,251.4,283.6643,197.84,215.53,143.48,,153.01,326.45,1341.45,1352.8,1659.37,4653.61,360.18,6274.1,18895.53,1632.57,497.54,6809.64,5597.5,640.03,41165.0,10863.5,1215.41,3048.7,499.7,,15103.04,891.22,9372.37,5367.79,1113.03,,,94.484375,97.359375,99.0,116.69,98.23,103.08,103.15,102.65,,109.69,,133.93,92.73,,,,216.6239,,,,,110.5987,,958.05,1.0009,0.009432,1.6452,0.6208,0.11687,0.6962,65.53,0.5082,0.12079,0.5623,0.10489,0.08873,28.28,84.25,2.616,286.6,5.315,461.4,,479.0,227.5,264.75,517.0,23.02
